,Produto,Preço de venda do fornecedor prio (concorrente),Quantidade,Total investido por produto
Restaurantes,Voucher restaurante - Assador,R$ 500.00,15,"R$ 7,500.00"
,Voucher restaurante - Tereze,R$ 500.00,10,"R$ 5,000.00"
,Voucher restaurante - Corrientes 348,R$ 500.00,15,"R$ 7,500.00"
,Voucher restaurante - Oro restaurante,"R$ 1,000.00",5,"R$ 5,000.00"
,Voucher restaurante - Gero,R$ 500.00,10,"R$ 5,000.00"
Experiências,Tour pela floresta da Tijuca,R$ 630.00,15,"R$ 9,450.00"
,Passeio AquaRio + Roda Gigante,R$ 720.00,15,"R$ 10,800.00"
,Tour por Petropolis + Museu Imperial,R$ 550.00,15,"R$ 8,250.00"
,Voucher Buddha Spa,R$ 250.00,15,"R$ 3,750.00"
,Voucher Buddha Spa,R$ 500.00,10,"R$ 5,000.00"
,Final de semana na POUSADA DO OURO (Paraty) - retirar o transfer,"R$ 3,500.00",3,"R$ 10,500.00"
,Final de semana na POUSADA DAS ARARAS (Petrópolis) - retirar o transfer,"R$ 2,400.00",3,"R$ 7,200.00"
,Final de semana na POUSADA ABRACADABRA (Búzios) - retirar o transfer,"R$ 3,720.00",3,"R$ 11,160.00"
,Aula de Surf  (pacote 5 aulas),R$ 600.00,5,"R$ 3,000.00"
,Aula de Surf,R$ 150.00,10,"R$ 1,500.00"
Cartão-presente,Voucher Centauro,R$ 500.00,10,"R$ 5,000.00"
,Voucher petlove,R$ 300.00,10,"R$ 3,000.00"
,Voucher Rihappy,R$ 500.00,10,"R$ 5,000.00"
,Voucher Tok&Stok,R$ 500.00,10,"R$ 5,000.00"
,,,TOTAL,"R$ 491,364.14"
